pathway	ID
map00061:Fatty acid biosynthesis	C05762
map00061:Fatty acid biosynthesis	C05763
map00061:Fatty acid biosynthesis	C05764
map00061:Fatty acid biosynthesis	C06423
map00061:Fatty acid biosynthesis	C06424
map00061:Fatty acid biosynthesis	C08362
map00061:Fatty acid biosynthesis	C16219
map00061:Fatty acid biosynthesis	C16220
map00061:Fatty acid biosynthesis	C16221
map00061:Fatty acid biosynthesis	C16520
map00061:Fatty acid biosynthesis	C20683
map00061:Fatty acid biosynthesis	C20794
map00062:Fatty acid elongation	C00024
map00062:Fatty acid elongation	C00040
map00062:Fatty acid elongation	C00083
map00062:Fatty acid elongation	C00136
map00062:Fatty acid elongation	C00154
map00062:Fatty acid elongation	C00162
map00062:Fatty acid elongation	C00249
map00062:Fatty acid elongation	C00264
map00062:Fatty acid elongation	C00605
map00062:Fatty acid elongation	C00638
map00062:Fatty acid elongation	C00640
map00062:Fatty acid elongation	C00658
map00062:Fatty acid elongation	C01832
map00062:Fatty acid elongation	C01944
map00062:Fatty acid elongation	C02593
map00062:Fatty acid elongation	C02843
map00062:Fatty acid elongation	C03221
map00062:Fatty acid elongation	C05258
map00062:Fatty acid elongation	C05259
map00062:Fatty acid elongation	C05260
map00062:Fatty acid elongation	C05261
map00062:Fatty acid elongation	C05262
map00062:Fatty acid elongation	C05263
map00062:Fatty acid elongation	C05264
map00062:Fatty acid elongation	C05265
map00062:Fatty acid elongation	C05266
map00062:Fatty acid elongation	C05267
map00062:Fatty acid elongation	C05268
map00062:Fatty acid elongation	C05269
map00062:Fatty acid elongation	C05270
map00062:Fatty acid elongation	C05271
map00062:Fatty acid elongation	C05272
map00062:Fatty acid elongation	C05273
map00062:Fatty acid elongation	C05274
map00062:Fatty acid elongation	C05275
map00062:Fatty acid elongation	C05276
map00062:Fatty acid elongation	C20876
map00062:Fatty acid elongation	C20877
map00062:Fatty acid elongation	C20878
map00062:Fatty acid elongation	C20879
map00071:Fatty acid degradation	C00010
map00071:Fatty acid degradation	C00024
map00071:Fatty acid degradation	C00071
map00071:Fatty acid degradation	C00136
map00071:Fatty acid degradation	C00154
map00071:Fatty acid degradation	C00162
map00071:Fatty acid degradation	C00226
map00071:Fatty acid degradation	C00229
map00071:Fatty acid degradation	C00249
map00071:Fatty acid degradation	C00332
map00071:Fatty acid degradation	C00340
map00071:Fatty acid degradation	C00435
map00071:Fatty acid degradation	C00489
map00071:Fatty acid degradation	C00517
map00071:Fatty acid degradation	C00527
map00071:Fatty acid degradation	C00638
map00071:Fatty acid degradation	C00823
map00071:Fatty acid degradation	C00877
map00071:Fatty acid degradation	C01144
map00071:Fatty acid degradation	C01371
map00071:Fatty acid degradation	C01832
map00071:Fatty acid degradation	C01944
map00071:Fatty acid degradation	C02593
map00071:Fatty acid degradation	C02990
map00071:Fatty acid degradation	C03221
map00071:Fatty acid degradation	C03547
map00071:Fatty acid degradation	C03561
map00071:Fatty acid degradation	C05102
map00071:Fatty acid degradation	C05258
map00071:Fatty acid degradation	C05259
map00071:Fatty acid degradation	C05260
map00071:Fatty acid degradation	C05261
map00071:Fatty acid degradation	C05262
map00071:Fatty acid degradation	C05263
map00071:Fatty acid degradation	C05264
map00071:Fatty acid degradation	C05265
map00071:Fatty acid degradation	C05266
map00071:Fatty acid degradation	C05267
map00071:Fatty acid degradation	C05268
map00071:Fatty acid degradation	C05269
map00071:Fatty acid degradation	C05270
map00071:Fatty acid degradation	C05271
map00071:Fatty acid degradation	C05272
map00071:Fatty acid degradation	C05273
map00071:Fatty acid degradation	C05274
map00071:Fatty acid degradation	C05275
map00071:Fatty acid degradation	C05276
map00071:Fatty acid degradation	C05279
map00071:Fatty acid degradation	C05280
map00071:Fatty acid degradation	C20683
"map00073:Cutin, suberine and wax biosynthesis"	C00226
"map00073:Cutin, suberine and wax biosynthesis"	C00249
"map00073:Cutin, suberine and wax biosynthesis"	C00406
"map00073:Cutin, suberine and wax biosynthesis"	C00609
"map00073:Cutin, suberine and wax biosynthesis"	C00712
"map00073:Cutin, suberine and wax biosynthesis"	C01371
"map00073:Cutin, suberine and wax biosynthesis"	C01450
"map00073:Cutin, suberine and wax biosynthesis"	C01612
"map00073:Cutin, suberine and wax biosynthesis"	C01629
"map00073:Cutin, suberine and wax biosynthesis"	C02843
"map00073:Cutin, suberine and wax biosynthesis"	C08281
"map00073:Cutin, suberine and wax biosynthesis"	C08285
"map00073:Cutin, suberine and wax biosynthesis"	C18217
"map00073:Cutin, suberine and wax biosynthesis"	C18218
"map00073:Cutin, suberine and wax biosynthesis"	C19418
"map00073:Cutin, suberine and wax biosynthesis"	C19614
"map00073:Cutin, suberine and wax biosynthesis"	C19615
"map00073:Cutin, suberine and wax biosynthesis"	C19616
"map00073:Cutin, suberine and wax biosynthesis"	C19617
"map00073:Cutin, suberine and wax biosynthesis"	C19618
"map00073:Cutin, suberine and wax biosynthesis"	C19620
"map00073:Cutin, suberine and wax biosynthesis"	C19621
"map00073:Cutin, suberine and wax biosynthesis"	C19622
"map00073:Cutin, suberine and wax biosynthesis"	C19623
"map00073:Cutin, suberine and wax biosynthesis"	C19624
"map00073:Cutin, suberine and wax biosynthesis"	C19625
"map00073:Cutin, suberine and wax biosynthesis"	C19630
map00100:Steroid biosynthesis	C00187
map00100:Steroid biosynthesis	C00448
map00100:Steroid biosynthesis	C00751
map00100:Steroid biosynthesis	C01054
map00100:Steroid biosynthesis	C01164
map00100:Steroid biosynthesis	C01189
map00100:Steroid biosynthesis	C01561
map00100:Steroid biosynthesis	C01673
map00100:Steroid biosynthesis	C01694
map00100:Steroid biosynthesis	C01724
map00100:Steroid biosynthesis	C01753
map00100:Steroid biosynthesis	C01789
map00100:Steroid biosynthesis	C01802
map00100:Steroid biosynthesis	C01902
map00100:Steroid biosynthesis	C01943
map00100:Steroid biosynthesis	C02141
map00100:Steroid biosynthesis	C02530
map00100:Steroid biosynthesis	C03428
map00100:Steroid biosynthesis	C03845
map00100:Steroid biosynthesis	C04525
map00100:Steroid biosynthesis	C05103
map00100:Steroid biosynthesis	C05107
map00100:Steroid biosynthesis	C05108
map00100:Steroid biosynthesis	C05109
map00100:Steroid biosynthesis	C05437
map00100:Steroid biosynthesis	C05439
map00100:Steroid biosynthesis	C05440
map00100:Steroid biosynthesis	C05441
map00100:Steroid biosynthesis	C05442
map00100:Steroid biosynthesis	C05443
map00100:Steroid biosynthesis	C07712
map00100:Steroid biosynthesis	C08813
map00100:Steroid biosynthesis	C08821
map00100:Steroid biosynthesis	C08830
map00100:Steroid biosynthesis	C11455
map00100:Steroid biosynthesis	C11508
map00100:Steroid biosynthesis	C11522
map00100:Steroid biosynthesis	C11523
map00100:Steroid biosynthesis	C15776
map00100:Steroid biosynthesis	C15777
map00100:Steroid biosynthesis	C15780
map00100:Steroid biosynthesis	C15781
map00100:Steroid biosynthesis	C15782
map00100:Steroid biosynthesis	C15783
map00100:Steroid biosynthesis	C15808
map00100:Steroid biosynthesis	C15816
map00100:Steroid biosynthesis	C15915
map00100:Steroid biosynthesis	C18231
map00100:Steroid biosynthesis	C21106
map00100:Steroid biosynthesis	C22112
map00100:Steroid biosynthesis	C22116
map00100:Steroid biosynthesis	C22119
map00100:Steroid biosynthesis	C22120
map00100:Steroid biosynthesis	C22121
map00100:Steroid biosynthesis	C22122
map00100:Steroid biosynthesis	C22123
map00100:Steroid biosynthesis	C22136
